wellID,replicate,family,media,strain,timeTidy,data
blank_0,2,blank,PBS,blank,21.80858333,0.084799998
blank_0,2,blank,PBS,blank,21.98588889,0.085199997
blank_0,2,blank,PBS,blank,22.16319444,0.085199997
blank_0,2,blank,PBS,blank,22.3405,0.0845
blank_0,2,blank,PBS,blank,22.51780556,0.085000001
blank_0,2,blank,PBS,blank,22.69511111,0.084899999
blank_0,2,blank,PBS,blank,22.87241667,0.085000001
blank_0,2,blank,PBS,blank,23.04972222,0.084700003
blank_0,2,blank,PBS,blank,23.22702778,0.0854
blank_0,2,blank,PBS,blank,23.40433333,0.085000001
blank_0,2,blank,PBS,blank,23.58163889,0.0854
blank_0,2,blank,PBS,blank,23.75894444,0.084899999
blank_0,2,blank,PBS,blank,23.93625,0.085199997
blank_0,2,blank,PBS,blank,24.11355556,0.085299999
blank_0,2,blank,PBS,blank,24.29086111,0.084799998
blank_0,2,blank,PBS,blank,24.46816667,0.085199997
blank_0,2,blank,PBS,blank,24.64547222,0.085199997
blank_0,2,blank,PBS,blank,24.82277778,0.084600002
blank_0,2,blank,PBS,blank,25.00008333,0.085100003
blank_0,2,blank,PBS,blank,25.17738889,0.084700003
blank_0,2,blank,PBS,blank,25.35469444,0.085000001
blank_0,2,blank,PBS,blank,25.532,0.085000001
blank_0,2,blank,PBS,blank,25.70930556,0.084899999
blank_0,2,blank,PBS,blank,25.88661111,0.085100003
blank_0,2,blank,PBS,blank,26.06391667,0.084700003
blank_0,2,blank,PBS,blank,26.24122222,0.084700003
blank_0,2,blank,PBS,blank,26.41852778,0.085299999
blank_0,2,blank,PBS,blank,26.59583333,0.084899999
blank_0,2,blank,PBS,blank,26.77313889,0.0854
blank_0,2,blank,PBS,blank,26.95044444,0.0845
blank_0,2,blank,PBS,blank,27.12775,0.084799998
blank_0,2,blank,PBS,blank,27.30505556,0.084700003
blank_0,2,blank,PBS,blank,27.48236111,0.085199997
blank_0,2,blank,PBS,blank,27.65966667,0.085100003
blank_0,2,blank,PBS,blank,27.83697222,0.084399998
blank_0,2,blank,PBS,blank,28.01427778,0.085100003
blank_0,2,blank,PBS,blank,28.19158333,0.085299999
blank_0,2,blank,PBS,blank,28.36888889,0.084799998
blank_0,2,blank,PBS,blank,28.54619444,0.084899999
blank_0,2,blank,PBS,blank,28.7235,0.084200002
blank_0,2,blank,PBS,blank,28.90080556,0.084700003
blank_0,2,blank,PBS,blank,29.07811111,0.084899999
blank_0,2,blank,PBS,blank,29.25541667,0.084899999
blank_0,2,blank,PBS,blank,29.43272222,0.084799998
blank_0,2,blank,PBS,blank,29.61002778,0.085299999
blank_0,2,blank,PBS,blank,29.78733333,0.085000001
blank_0,2,blank,PBS,blank,29.96463889,0.084700003
blank_0,2,blank,PBS,blank,30.14194444,0.084799998
blank_0,2,blank,PBS,blank,30.31925,0.084899999
blank_0,2,blank,PBS,blank,30.49655556,0.084799998
blank_0,2,blank,PBS,blank,30.67386111,0.084600002
blank_0,2,blank,PBS,blank,30.85116667,0.0854
blank_0,2,blank,PBS,blank,31.02847222,0.085100003
blank_0,2,blank,PBS,blank,31.20577778,0.0845
blank_0,2,blank,PBS,blank,31.38308333,0.084600002
blank_0,2,blank,PBS,blank,31.56038889,0.085299999
blank_0,2,blank,PBS,blank,31.73769444,0.085100003
blank_0,2,blank,PBS,blank,31.915,0.084600002
blank_0,2,blank,PBS,blank,32.09230556,0.085600004
blank_0,2,blank,PBS,blank,32.26961111,0.085199997
blank_0,2,blank,PBS,blank,32.44691667,0.084700003
blank_0,2,blank,PBS,blank,32.62422222,0.084799998
blank_0,2,blank,PBS,blank,32.80152778,0.085000001
blank_0,2,blank,PBS,blank,32.97883333,0.084899999
blank_0,2,blank,PBS,blank,33.15613889,0.084899999
blank_0,2,blank,PBS,blank,33.33344444,0.085100003
blank_0,2,blank,PBS,blank,33.51075,0.084399998
blank_0,2,blank,PBS,blank,33.68805556,0.085100003
blank_0,2,blank,PBS,blank,33.86536111,0.084600002
blank_0,2,blank,PBS,blank,34.04266667,0.084700003
blank_0,2,blank,PBS,blank,34.21997222,0.085000001
blank_0,2,blank,PBS,blank,34.39727778,0.084899999
blank_0,2,blank,PBS,blank,34.57458333,0.0845
blank_0,2,blank,PBS,blank,34.75188889,0.085100003
blank_0,2,blank,PBS,blank,34.92919444,0.085000001
blank_0,2,blank,PBS,blank,35.1065,0.084700003
blank_0,2,blank,PBS,blank,35.28380556,0.084700003
blank_0,2,blank,PBS,blank,35.46111111,0.084700003
blank_0,2,blank,PBS,blank,35.63841667,0.085000001
blank_0,2,blank,PBS,blank,35.81572222,0.085199997
blank_0,2,blank,PBS,blank,35.99302778,0.084700003
blank_0,2,blank,PBS,blank,36.17033333,0.0854
blank_0,2,blank,PBS,blank,36.34763889,0.084799998
blank_0,2,blank,PBS,blank,36.52494444,0.084899999
blank_0,2,blank,PBS,blank,36.70225,0.084200002
blank_0,2,blank,PBS,blank,36.87955556,0.084600002
blank_0,2,blank,PBS,blank,37.05686111,0.085000001
