expID,strain,media,replicate,timepoint,OD600,OD600_blanked
blank1,blank,GlcNAc,1,47.55311111,0.085400001,-0.000589999
blank1,blank,GlcNAc,1,47.73813889,0.08537,-0.000619999
blank1,blank,GlcNAc,1,47.92316667,0.085350001,-0.000639999
blank1,blank,GlcNAc,1,48.10819444,0.085439999,-0.00055
blank2,blank,GlcNAc,2,0,0.08518,0
blank2,blank,GlcNAc,2,0.185027778,0.08506,-0.00012
blank2,blank,GlcNAc,2,0.370083333,0.085239999,5.99988E-05
blank2,blank,GlcNAc,2,0.555111111,0.08507,-0.00011
blank2,blank,GlcNAc,2,0.740138889,0.08512,-6.00003E-05
blank2,blank,GlcNAc,2,0.925166667,0.08522,3.99999E-05
blank2,blank,GlcNAc,2,1.110194444,0.085389999,0.000209999
blank2,blank,GlcNAc,2,1.295222222,0.085199999,1.99988E-05
blank2,blank,GlcNAc,2,1.48025,0.08524,5.99995E-05
blank2,blank,GlcNAc,2,1.665277778,0.085380001,0.000200001
blank2,blank,GlcNAc,2,1.850333333,0.08532,0.000139999
blank2,blank,GlcNAc,2,2.035361111,0.085560001,0.00038
blank2,blank,GlcNAc,2,2.220388889,0.08536,0.00018
blank2,blank,GlcNAc,2,2.405416667,0.085219999,3.99992E-05
blank2,blank,GlcNAc,2,2.590444444,0.08532,0.00014
blank2,blank,GlcNAc,2,2.775472222,0.085169999,-1.00009E-05
blank2,blank,GlcNAc,2,2.960611111,0.08539,0.00021
blank2,blank,GlcNAc,2,3.145638889,0.085310001,0.000130001
blank2,blank,GlcNAc,2,3.330666667,0.085440001,0.000260001
blank2,blank,GlcNAc,2,3.515694444,0.08543,0.00025
blank2,blank,GlcNAc,2,3.700722222,0.08528,0.0001
blank2,blank,GlcNAc,2,3.885777778,0.085350001,0.000170001
blank2,blank,GlcNAc,2,4.070805556,0.08525,6.99997E-05
blank2,blank,GlcNAc,2,4.255833333,0.085330001,0.00015
blank2,blank,GlcNAc,2,4.440861111,0.085350001,0.000170001
blank2,blank,GlcNAc,2,4.625888889,0.08536,0.00018
blank2,blank,GlcNAc,2,4.810916667,0.085320001,0.000140001
blank2,blank,GlcNAc,2,4.995944444,0.085300001,0.000120001
blank2,blank,GlcNAc,2,5.180972222,0.08541,0.00023
blank2,blank,GlcNAc,2,5.366,0.08537,0.00019
blank2,blank,GlcNAc,2,5.551055556,0.085290001,0.00011
blank2,blank,GlcNAc,2,5.736277778,0.08526,7.99999E-05
blank2,blank,GlcNAc,2,5.921305556,0.08538,0.0002
blank2,blank,GlcNAc,2,6.106333333,0.085290001,0.000110001
blank2,blank,GlcNAc,2,6.291361111,0.08536,0.00018
blank2,blank,GlcNAc,2,6.476388889,0.08533,0.00015
blank2,blank,GlcNAc,2,6.661416667,0.08526,7.99999E-05
blank2,blank,GlcNAc,2,6.846472222,0.085400001,0.000220001
blank2,blank,GlcNAc,2,7.0315,0.085330001,0.00015
blank2,blank,GlcNAc,2,7.216527778,0.085270001,9.00008E-05
blank2,blank,GlcNAc,2,7.401555556,0.08539,0.00021
