strain,carbonSource,Area_Under_Curve,Growth
Day20C2,D-Aspartic Acid,-3.2764000639999997,FALSE
Day20C2,N-Acetyl-beta-D Mannosamine,-3.0647000500000003,FALSE
Day20C2,alpha-Methyl-D Galactoside,-2.9344002000000007,FALSE
Day20C2,3-Methyl Glucose,-2.681399911642063,FALSE
Day20C2,D-Tagatose,-2.2769998908042832,FALSE
Day20C2,Amygdalin,-2.0886998772621235,FALSE
Day20C2,D-Arabinose,-1.633399873971947,FALSE
Day20C2,beta-Cyclodextrin,-1.4872999787330672,FALSE
Day20C2,D-Xylose,-1.4154999310000005,FALSE
Day20C2,L-Glucose,-1.4064000099897402,FALSE
Day20C2,N-Acetyl-D-Galactosamine,-1.3958999067544915,FALSE
Day20C2,D-Sorbitol,-1.3119000920000006,FALSE
Day20C2,D-Glucose-6-Phosphate,-1.3020999820000005,FALSE
Day20C2,Palatinose,-1.2878999859094642,FALSE
Day20C2,Gentiobiose,-1.0300999581813794,FALSE
Day20C2,Salicin,-0.6914000362157873,FALSE
Day20C2,D-Fructose-6-Phosphate,-0.45330007900000024,FALSE
Day20C2,Sucrose,-0.28210014100000036,FALSE
Day20C2,Glycolic Acid,0.0507999349999996,FALSE
Day20C2,Melibionic Acid,0.3831999450922039,FALSE
Day20C2,D-Galactonic Acid-gamma-Lactone,0.496399861,FALSE
Day20C2,m-Hydroxy Phenyl Acetic Acid,0.794899835,FALSE
Day20C2,Formic Acid,0.9157998970000001,FALSE
Day20C2,L-Valine,1.072199881076808,FALSE
Day20C2,Acetoacetic Acid,1.1512999019999994,FALSE
Day20C2,L-Sorbose,1.3351000100374149,FALSE
Day20C2,beta-Methyl-D Glucoside,1.4523999619999994,FALSE
Day20C2,L-Fucose,1.617999888,FALSE
Day20C2,Thymidine,2.2870999409999997,FALSE
Day20C2,N-Acetyl-Neuraminic Acid,2.403099954128264,FALSE
Day20C2,Mucic Acid,2.4902999379999997,FALSE
Day20C2,beta-D-Allose,2.4905000329017657,FALSE
Day20C2,m-Inositol,2.554099852,FALSE
Day20C2,Dextrin,2.6596999317407737,FALSE
Day20C2,Turanose,2.6770000159740457,FALSE
Day20C2,alpha-D-Lactose,2.8007998549999997,FALSE
Day20C2,gamma-Hydroxy Butyric Acid,2.847300246357906,FALSE
Day20C2,L-Arabinose,2.8707998829999997,FALSE
Day20C2,L-Phenylalanine,2.8772000968456277,FALSE
Day20C2,D-Mannitol,3.6298999509999996,FALSE
Day20C2,L-Lyxose,4.029899925,FALSE
Day20C2,D-Glucosaminic Acid,4.2693998209999995,FALSE
Day20C2,5-Keto-D-Gluconic Acid,4.328700080513968,FALSE
Day20C2,D-Arabitol,4.357300087809561,FALSE
Day20C2,gamma-Cyclodextrin,4.428800076246261,FALSE
Day20C2,D-Glucose-1-Phosphate,4.594299872,FALSE
Day20C2,Dihydroxy Acetone,4.674100145697599,FALSE
Day20C2,Oxalic Acid,5.1450998485088375,FALSE
Day20C2,D-Psicose,5.8187999029999995,FALSE
Day20C2,Sedoheptulosan,5.8412000238895505,FALSE
Day20C2,D-Raffinose,5.844799935817716,FALSE
Day20C2,L-Malic Acid,5.909699739,FALSE
Day20C2,D-Serine,6.253399865,FALSE
Day20C2,L-Serine,6.527499824,FALSE
Day20C2,alpha-D-Glucose,6.716499891,FALSE
Day20C2,Inosine,7.272099826,FALSE
Day20C2,Uridine,7.562599754,FALSE
Day20C2,Methyl Pyruvate,7.604599941,FALSE
Day20C2,D-Malic Acid,8.184799815,FALSE
Day20C2,Mono Methyl Succinate,8.662199816,FALSE
Day20C2,alpha-Hydroxy Glutaric Acid-gamma-Lactone,8.793199913,FALSE
Day20C2,alpha-Keto-Butyric Acid,9.070499718,FALSE
Day20C2,D-Trehalose,9.079499697,FALSE
Day20C2,Sorbic Acid,9.435699880123146,FALSE
Day20C2,Adenosine,9.519699897999999,FALSE
Day20C2,L-Threonine,9.796699794,FALSE
Day20C2,D-Glucosamine,10.554399967193607,FALSE
Day20C2,Glycyl-L-Aspartic Acid,10.63009993,FALSE
Day20C2,Succinamic Acid,10.889000013470651,FALSE
Day20C2,beta-Methyl-D-Glucuronic Acid,11.426899746060386,FALSE
Day20C2,Butyric Acid,12.045600160956374,FALSE
Day20C2,L-Lysine,12.079199954867367,FALSE
Day20C2,Tricarballylic Acid,12.084999741,FALSE
Day20C2,3-0-beta-D-Galactopyranosyl-D-Arabinose,12.230299845337871,FALSE
Day20C2,Oxalomalic Acid,12.809099942445759,FALSE
Day20C2,D-Gluconic Acid,12.911699672,FALSE
Day20C2,L-Arginine,13.369200006127354,FALSE
Day20C2,Quinic Acid,13.383999943733208,FALSE
Day20C2,D.L-Octopamine,13.622299894690512,FALSE
Day20C2,N-Acetyl-D Glucosamine,14.110599898,FALSE
Day20C2,"D,L-Carnitine",15.007899984717362,FALSE
Day20C2,Glycerol,15.365399742,FALSE
Day20C2,L-Lactic Acid,15.444099591,FALSE
Day20C2,L-Alaninamide,15.685800030827526,FALSE
Day20C2,Acetic Acid,15.724199717,FALSE
Day20C2,"1,2-Propanediol",16.182199917,TRUE
Day20C2,Itaconic Acid,16.556400015950196,TRUE
Day20C2,alpha-Hydroxy Butyric Acid,17.357599857,TRUE
Day20C2,L-Alanyl-Glycine,18.314099819,TRUE
Day20C2,Gelatin,18.98390001058578,TRUE
Day20C2,Citraconic Acid,19.09309962391853,TRUE
Day20C2,Tween 20,19.689999768,TRUE
Day20C2,Propionic Acid,20.05500013,TRUE
Day20C2,Fumaric Acid,20.767700017,TRUE
Day20C2,Capric Acid,22.107900030910972,TRUE
Day20C2,Malonic Acid,23.198800235986706,TRUE
Day20C2,D-Ribose,23.206699931,TRUE
Day20C2,Succinic Acid,24.010699963,TRUE
Day20C2,a-Keto-Valeric Acid,24.109699800610542,TRUE
Day20C2,D-Alanine,24.522099631,TRUE
Day20C2,D-Fructose,27.310799809,TRUE
Day20C2,Glycyl-L-Glutamic Acid,28.775199808,TRUE
Day20C2,2-Aminoethanol,29.320699717,TRUE
Day20C2,Tween 40,29.577899786,TRUE
Day20C2,D-Lactic Acid Methyl Ester,30.169500082731247,TRUE
Day20C2,"D,L-alpha-Glycerol Phosphate",30.476699816,TRUE
Day20C2,Tween 80,30.777799834,TRUE
Day20C2,Bromo Succinic Acid,30.991899706999998,TRUE
Day20C2,Glycine,30.99969992041587,TRUE
Day20C2,Glycyl-L-Proline,31.814999753,TRUE
Day20C2,L-Aspartic Acid,31.845599825,TRUE
Day20C2,Citric Acid,32.09909988,TRUE
Day20C2,gamma-Amino Butyric Acid,33.37159995734691,TRUE
Day20C2,Citramalic Acid,35.285600140690796,TRUE
Day20C2,L-Isoleucine,35.957300081849084,TRUE
Day20C2,Hydroxy-L-Proline,37.11679998040198,TRUE
Day20C2,L-Ornithine,37.99930001795291,TRUE
Day20C2,L-Asparagine,39.838999818,TRUE
Day20C2,L-Leucine,40.4522000849247,TRUE
Day20C2,"D,L-Malic Acid",41.549199587,TRUE
Day20C2,L-Glutamine,41.893899871,TRUE
Day20C2,Putrescine,42.43139985203744,TRUE
Day20C2,L-Pyroglutamic Acid,43.71260008215906,TRUE
Day20C2,L-Proline,44.318499895,TRUE
Day20C2,L-Alanine,44.926500058,TRUE
Day20C2,L-Glutamic Acid,47.706699987,TRUE
Day20C2,Sebacic Acid,48.05070003867149,TRUE
Day20C2,L-Histidine,48.363699927926064,TRUE
Day20C2,alpha-Keto-Glutaric Acid,50.26880011,TRUE
Day20C2,4-Hydroxy Benzoic Acid,50.923199877142906,TRUE
Day20C2,Pyruvic Acid,54.72800017,TRUE
Day20C2,delta-Amino Valeric Acid,55.14460012316703,TRUE
Day20C2,N-Acetyl-L-Glutamic Acid,57.13509982824325,TRUE
Day20C2,beta-Hydroxy Butyric Acid,58.612000182271004,TRUE
Day20C2,Inulin,63.198099911212914,TRUE
Day20C2,Caproic Acid,63.670300126075745,TRUE
Day20C2,Tyramine,69.594199423,TRUE
Day20C2,p-Hydroxy Phenyl Acetic Acid,69.95390016099999,TRUE
Day20F4,2-Hydroxy Benzoic Acid,-14.234700068831417,FALSE
Day20F4,L-Homoserine,-14.145400032401085,FALSE
Day20F4,Phenylethylamine,-10.513299988,FALSE
Day20F4,L-Lysine,-9.68590016663072,FALSE
Day20F4,Sec-Butylamine,-9.435299977660168,FALSE
Day20F4,L-Ornithine,-9.379500195384017,FALSE
Day20F4,Capric Acid,-8.637600161135197,FALSE
Day20F4,"2,3-Butanone",-7.741700023412693,FALSE
Day20F4,beta-Methyl-D-Xyloside,-7.599100008606904,FALSE
Day20F4,L-Valine,-7.59200002253054,FALSE
Day20F4,"2,3-Butanediol",-7.4705001115799,FALSE
Day20F4,"D,L-Carnitine",-6.803500071167937,FALSE
Day20F4,Glycine,-6.771600082516671,FALSE
Day20F4,2-Deoxy-D-Ribose,-5.704300165176386,FALSE
Day20F4,Sorbic Acid,-5.679800130426876,FALSE
Day20F4,L-Histidine,-5.528500139713286,FALSE
Day20F4,3-Hydroxy 2-Butanone,-5.42949999123811,FALSE
